fecha,cobro
2015-11-28,1934141.34677
2015-11-29,1346034.39182
2015-11-30,2184300.9509
2015-12-01,2082741.05054
2015-12-02,2023377.04223
2015-12-03,1853420.58938
2015-12-04,1896409.3643
2015-12-05,1397460.75447
2015-12-06,1131387.47369
2015-12-07,1851881.29068
2015-12-08,2065720.05388
2015-12-09,2053160.46249
2015-12-10,1943417.45652
2015-12-11,2027723.6833
2015-12-12,1250377.77469
2015-12-13,1283128.41856
2015-12-14,2028267.70369
2015-12-15,1967831.46834
2015-12-16,1879928.33705
2015-12-17,1898390.80643
2015-12-18,1896790.42473
2015-12-19,1504034.33969
2015-12-20,1164091.7305
2015-12-21,2359155.58739
2015-12-22,2441280.09031
2015-12-23,1454473.83456
2015-12-24,1261710.576
2015-12-25,2198009.24334
2015-12-26,1592973.49195
2015-12-27,1244442.68301
2015-12-28,2229976.09703
