fecha,cobro
2015-12-05,1222154.48615
2015-12-06,1037902.26692
2015-12-07,2105027.76692
2015-12-08,2140852.59231
2015-12-09,2048747.63308
2015-12-10,1904859.10308
2015-12-11,2057344.79
2015-12-12,977256.239231
2015-12-13,1294635.40154
2015-12-14,2290073.39846
2015-12-15,1946597.11538
2015-12-16,1849043.45308
2015-12-17,1904877.62
2015-12-18,1896228.12846
2015-12-19,1366038.95846
2015-12-20,1044652.43538
2015-12-21,2779042.88846
2015-12-22,2470134.64538
2015-12-23,1107758.12308
2015-12-24,1193982.94462
2015-12-25,2526979.04538
2015-12-26,1380393.36308
2015-12-27,1121985.91231
2015-12-28,2576244.59385
